N_cyc,S_max_MPa,S_a_MPa,S_min_MPa,S_m_MPa,R,freq_Hz,angle_degree,notch_depth_mm,notch_radius_mm,label
10369,51,22.95,5.1,28.05,0.1,6,-,-,-,Plain specimen
27918,31,13.95,3.1,17.05,0.1,10,-,-,-,Plain specimen
2000000,16,7.2,1.6,8.8,0.1,30,-,-,-,Plain specimen
113990,24,10.8,2.4,13.2,0.1,12,-,-,-,Plain specimen
324201,18,8.1,1.8,9.9,0.1,15,-,-,-,Plain specimen
489269,17,7.65,1.7,9.35,0.1,20,-,-,-,Plain specimen
2000000,13.5,6.075,1.35,7.425,0.1,25,-,-,-,Plain specimen
2000000,16.8,7.56,1.68,9.24,0.1,30,-,-,-,Plain specimen
560209,17,7.65,1.7,9.35,0.1,30,-,-,-,Plain specimen
2000000,14,6.3,1.4,7.7,0.1,30,45,5,5,Notched specimen 1
151801,17,7.65,1.7,9.35,0.1,35,45,5,5,Notched specimen 1
147452,16.5,7.425,1.65,9.075,0.1,35,45,5,5,Notched specimen 1
280405,15,6.75,1.5,8.25,0.1,35,45,5,5,Notched specimen 1
2000000,14.9,6.705,1.49,8.195,0.1,35,45,5,5,Notched specimen 1
81888,13.5,6.075,1.35,7.425,0.1,35,45,5,1,Notched specimen 2
257181,10.5,4.725,1.05,5.775,0.1,20,45,5,1,Notched specimen 2
918573,9.5,4.275,0.95,5.225,0.1,20,45,5,1,Notched specimen 2
218929,9.7,4.365,0.97,5.335,0.1,20,45,5,1,Notched specimen 2
90171,10.5,4.725,1.05,5.775,0.1,15,45,5,0.1,Notched specimen 3
133020,9.5,4.275,0.95,5.225,0.1,15,45,5,0.1,Notched specimen 3
171199,8.5,3.825,0.85,4.675,0.1,15,45,5,0.1,Notched specimen 3
432455,8,3.6,0.8,4.4,0.1,15,45,5,0.1,Notched specimen 3
2000000,7,3.15,0.7,3.85,0.1,15,45,5,0.1,Notched specimen 3
